State_FIPS_Code,County_FIPS_Code,LBW,LBW_Ind,VLBW,VLBW_Ind,Premature,Premature_Ind,Under_18,Under_18_Ind,Over_40,Over_40_Ind,Unmarried,Unmarried_Ind,Late_Care,Late_Care_Ind,Infant_Mortality,Infant_Mortality_Ind,IM_Wh_Non_Hisp,IM_Wh_Non_Hisp_Ind,IM_Bl_Non_Hisp,IM_Bl_Non_Hisp_Ind,IM_Hisp,IM_Hisp_Ind,IM_Neonatal,IM_Neonatal_Ind,IM_Postneonatal,IM_Postneonatal_Ind,Brst_Cancer,Brst_Cancer_Ind,Col_Cancer,Col_Cancer_Ind,CHD,CHD_Ind,Homicide,Homicide_Ind,Lung_Cancer,Lung_Cancer_Ind,MVA,MVA_Ind,Stroke,Stroke_Ind,Suicide,Suicide_Ind,Injury,Injury_Ind,Total_Births,Total_Deaths
1,1,8.1,4,1.6,4,14.3,4,5.1,4,1.4,3,28,3,12.9,3,5.9,3,4.2,3,13,4,-1111.1,-1,3,3,3,4,34.1,4,15.9,3,172.4,3,6.7,4,65.3,4,27.3,4,73.9,4,16.6,4,23,4,3048,1867
1,3,8.6,4,1.9,4,15.3,4,4.3,4,1.9,3,25.4,3,15.3,3,7.1,3,5.7,3,13.5,3,-1111.1,-1,5.7,4,1.5,3,22.5,3,15.3,3,156.5,3,5.4,4,62.1,4,25.1,4,48.7,3,14.3,4,30.1,4,5471,4388
1,5,11,4,1.9,4,16.7,4,7.7,4,1.1,3,50.2,4,26,4,7.1,3,5.5,3,9.4,4,-1111.1,-1,5.4,4,1.6,3,30.5,4,23.4,4,95.3,3,11.8,4,70.6,4,26.2,3,84.5,4,10.3,3,29.6,4,1835,1538
1,7,8.7,4,1.7,4,13.7,4,6.5,4,0.9,3,30.2,3,16.3,3,9.8,4,9.2,4,12.2,4,-1111.1,-1,7.1,4,2.7,4,30.1,4,17.4,3,184.7,3,8,4,64.6,4,35.4,4,144.6,4,14.8,4,30,4,2801,2012
1,9,7.6,4,1.5,4,12.8,4,5,4,1.3,3,19.3,3,16.7,4,9,4,7.5,4,-1111.1,-1,10.9,4,5.4,4,3.6,4,30.2,4,16.8,3,148.2,3,5.3,4,71.7,4,27.4,4,47.3,3,14.4,4,24.4,4,3318,2453
1,11,13.7,4,2.8,4,22.6,4,10.8,4,1.2,4,66.6,4,34.4,4,13.3,4,-1111.1,-1,13.3,4,-1111.1,-1,7,4,6.3,4,30.4,4,23,4,221.4,4,10.7,4,49.9,3,52.2,4,67.8,4,-1111.1,-1,34.2,4,1604,1381
1,13,9.8,3,1.8,3,15.7,4,9,3,1.2,4,50.2,4,20.3,3,5.8,3,3.3,3,7.2,3,-1111.1,-1,3.1,3,2.7,3,20.5,3,17.8,3,229,4,17.3,4,52.5,3,37.7,4,84.5,4,11.9,3,30.5,4,2874,2857
1,15,9,4,1.9,4,14.1,4,4.8,4,0.8,3,26.3,3,12.1,3,9.5,4,7.2,3,17.3,4,-1111.1,-1,6.1,4,3.4,4,26.4,4,18.4,3,189.3,3,8.6,4,73.5,4,25.5,4,79.2,4,13.6,3,27.4,4,4429,3915
1,17,9.3,4,2,4,15.2,4,7.3,4,0.9,3,49.4,4,17.6,4,7.5,3,5.5,3,10.2,3,-1111.1,-1,5.3,3,2.2,3,25.3,4,13.8,3,110.8,3,8.2,4,63.1,3,27.9,4,97.6,4,12.8,3,26.8,4,2271,2424
1,19,8.4,4,1.2,4,12.2,4,7.6,4,0.9,3,26.1,3,14.1,3,7.4,4,6.3,3,-1111.1,-1,-1111.1,-1,3.7,3,3.7,4,11,3,15.3,3,160.4,3,-1111.1,-1,54.1,3,32.7,4,59,3,17.7,4,27,4,2659,2609
